NBM_91_bulk_CMP	NBM_91_bulk_GMP	NBM_91_bulk_HSC	NBM_91_bulk_MEP	OX1407_bulk_CMP	OX1407_bulk_GMP	OX1407_bulk_HSC	OX1407_bulk_MEP	OX1570_bulk_CMP	OX1570_bulk_GMP	OX1570_bulk_HSC	OX1570_bulk_MEP	OX753_bulk_HSC
MDC1	833	567	706	795	904	1139	202	317	311	406	64	201	220
MDFIC	344	460	403	44	170	322	688	229	40	325	71	1	11
MDGA1	1	0	14	0	63	87	1	0	0	4	0	0	0
MDGA2	82	31	647	69	0	0	0	0	0	0	3	0	2
MDH1	2380	2944	5295	7605	4542	3413	4170	6201	1427	2801	123	2202	8475
MDH1B	3	17	86	0	1	5	0	13	186	19	15	0	0
MDH2	2137	4096	5278	7791	4651	2650	2682	5024	2005	4313	483	3875	3100
MDK	833	317	2416	129	51	453	684	44	456	554	213	78	953
MDM1	820	434	839	1781	770	747	442	997	115	420	26	586	1114
MDM2	487	513	2312	1240	1465	1090	1375	1135	824	1674	352	1119	1582
MDM4	5406	4164	5591	4435	5998	3953	2320	3620	4483	6121	582	3721	3084
MDN1	951	1422	1086	2972	2468	2000	1090	3258	754	769	82	968	2942
MDP1	17	32	108	77	73	16	39	34	4	36	2	13	64
MDS2	0	0	0	0	0	0	0	0	0	1	0	0	0
ME1	0	0	0	0	0	0	0	0	0	13	0	0	1
ME2	1208	850	671	1891	2063	1072	759	1478	701	1249	25	1375	3069
ME3	506	803	531	524	302	1655	486	318	387	993	56	422	305
MEA1	1076	752	1425	2611	2074	975	1055	2063	409	1206	28	765	755
MEAF6	947	720	2471	3132	2205	1563	1685	3722	1081	1235	123	1615	373
MECOM	131	6	1788	480	158	101	483	326	87	33	64	237	928
MECP2	463	686	554	1063	523	768	225	187	537	284	17	92	139
MECR	169	377	1236	721	279	129	103	966	112	443	23	651	187
MED1	659	564	554	1290	786	441	251	798	747	755	42	786	469
MED10	1029	752	1211	1809	1513	1605	1414	1802	335	1549	99	1356	1230
MED11	121	233	390	537	150	134	40	111	55	6	2	16	177
MED12	654	484	529	577	483	482	242	365	1090	533	20	635	198
MED12L	482	266	1656	953	3254	805	1925	1553	1317	403	282	1637	1042
MED13	1156	893	2438	2423	1674	950	1574	2352	1272	2618	235	3131	1998
MED13L	871	1615	1870	707	1585	1908	688	1248	2423	3820	126	1084	2481
MED14	462	810	1536	1393	991	228	491	1033	716	959	116	912	1280
MED14OS	64	37	79	67	54	38	113	46	23	46	3	15	0
MED15	897	1592	1027	863	848	447	226	181	643	1220	23	558	0
MED15P9	0	0	1	0	1	0	0	0	1	0	0	0	2
MED16	337	312	711	309	150	137	17	211	45	144	1	164	261
MED17	470	321	1076	742	1385	949	614	1076	1541	1245	141	1759	1991
MED18	8	1	86	195	1	10	0	96	1	6	0	26	1
MED19	118	353	355	612	380	34	7	340	145	191	16	174	0
MED20	89	452	654	878	233	129	0	698	55	67	19	91	3
MED21	257	379	1170	785	669	260	1012	1093	482	325	105	883	1104
MED22	120	134	151	60	269	90	26	76	31	81	4	109	261
MED23	201	293	888	1283	946	969	669	1480	891	1515	99	1313	1622
MED24	634	804	632	519	466	782	209	307	568	991	69	476	57
MED25	91	80	71	82	61	60	13	71	18	21	1	61	0
MED26	153	147	57	124	90	280	103	96	46	166	9	56	457
MED27	143	95	327	213	247	98	158	436	1	305	19	231	3
MED28	412	698	2147	2551	945	829	1357	1820	728	813	133	796	345
MED29	540	440	529	402	448	569	379	371	216	602	77	292	107
MED30	364	913	1054	1391	1241	774	1228	1627	565	1334	113	1174	1393
MED31	86	74	168	152	15	26	33	97	23	7	1	27	0
MED4	1281	1350	1614	2809	2200	1681	2640	3839	1932	1906	289	1844	2165
MED4-AS1	1	1	0	0	0	11	12	17	16	19	3	20	17
MED6	500	283	1073	1422	1126	783	236	1057	241	1253	74	1281	953
MED7	69	273	1071	794	169	181	461	962	119	51	14	171	724
MED8	250	650	835	1032	567	397	440	1471	239	309	22	388	794
MED9	75	350	225	54	117	207	163	101	105	229	13	123	43
MEF2A	672	645	593	768	759	588	485	1014	348	555	78	341	1349
MEF2BNB	85	57	69	120	14	22	10	20	12	16	0	16	0
MEF2C	887	1151	3118	3224	1654	838	1408	4810	774	872	129	963	742
MEF2C-AS1	2	13	182	29	155	104	62	226	1	48	18	90	19
MEF2D	261	878	156	22	246	758	103	66	438	1279	7	113	105
MEFV	1	1	0	1	2	1	0	1	1	0	0	0	6
MEG3	119	0	290	0	0	0	14	0	0	2	16	0	1
MEGF10	0	0	66	1	0	0	0	0	0	0	0	0	0
MEGF11	0	2	82	0	0	0	0	16	0	1	0	0	0
MEGF6	528	496	614	373	404	1281	271	142	601	324	32	159	116
MEGF8	547	327	77	226	191	148	59	25	93	140	6	36	5
MEGF9	40	301	110	535	99	290	364	303	98	318	2	132	1
MEI1	86	50	139	0	191	124	45	14	11	49	18	63	318
MEI4	0	22	203	0	191	3	66	86	16	2	23	15	0
MEIG1	25	0	18	0	0	0	11	12	0	0	2	0	0
MEIOB	0	0	17	0	0	0	85	0	0	0	0	14	1
MEIS1	900	422	5826	788	1769	619	1735	887	1131	1263	627	1108	2337
MEIS1-AS3	0	0	55	0	0	0	0	0	1	0	0	0	0
MEIS2	0	0	0	0	0	0	0	74	0	0	0	0	2
MEIS3P1	3	0	18	29	3	11	22	30	18	20	10	22	52
MELK	205	398	360	811	269	392	419	726	777	715	3	6	376
MEMO1	507	867	713	1397	1401	769	885	1173	449	592	32	951	740
MEN1	561	376	187	633	808	370	126	156	90	73	1	74	259
MEOX2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1
MEP1B	0	0	0	0	0	0	0	0	0	1	0	5	3
MEPCE	938	517	484	1084	528	490	246	381	260	204	14	134	63
MERTK	37	210	238	19	91	15	64	31	0	132	12	18	114
MESDC1	198	166	50	48	72	87	48	30	130	96	0	8	0
MESDC2	1199	688	1845	2564	699	838	649	1194	115	307	5	116	532
MESP1	19	52	0	37	0	2	2	0	10	0	0	4	0
MESP2	0	1	1	0	0	0	0	0	0	0	0	0	0
MEST	2063	1722	8162	6827	5427	2337	4000	9003	2100	2956	694	7561	3293
MESTIT1	0	0	0	0	0	0	0	1	1	0	0	1	0
MET	0	0	0	0	0	0	0	0	2	0	0	0	0
METAP1	924	1050	1615	2816	2377	1568	1571	4240	1268	1870	155	2051	837
METAP1D	177	80	186	120	106	2	55	221	35	138	9	155	0
METAP2	1329	2024	3459	6152	3732	3298	1964	11531	2496	2793	269	4658	1753
METRN	10	1	11	0	0	0	0	4	22	10	0	1	0
METRNL	110	302	34	27	60	174	0	26	239	230	0	78	0
METTL1	465	673	680	991	758	893	621	955	5	141	30	433	1
METTL10	278	428	942	1714	700	684	871	1405	447	424	109	959	822
METTL12	35	42	75	95	35	75	32	36	139	78	2	50	65
METTL13	457	453	1273	1592	382	400	5	712	0	184	2	110	0
METTL14	278	333	916	803	358	282	265	997	182	692	95	634	561
METTL15	319	279	587	805	227	290	104	410	61	274	28	97	109
METTL16	450	343	687	768	228	238	204	282	373	392	30	397	124
METTL17	565	575	1112	2027	924	1001	355	1698	229	803	25	1192	1016
METTL18	7	202	614	248	543	168	274	979	129	89	27	368	0
METTL20	0	78	81	60	1	0	0	13	0	5	3	6	1
METTL21A	1113	882	1421	2770	1838	965	720	2413	130	244	37	380	1632
METTL21B	192	335	685	618	257	136	93	212	235	69	23	251	0
METTL21EP	0	0	41	0	0	0	0	0	0	0	0	0	0
METTL22	270	67	166	114	281	208	55	270	154	178	15	321	0
METTL23	488	906	1076	1431	573	668	847	1061	351	343	43	172	745
METTL24	0	0	0	0	0	0	0	0	0	0	0	7	1
METTL25	111	170	390	431	67	253	372	682	117	230	6	135	0
METTL2A	56	48	206	427	129	12	113	365	41	92	6	153	133
METTL2B	35	57	267	416	170	13	110	269	77	78	7	147	99
METTL3	89	164	2600	1705	2408	970	1221	2171	132	482	113	964	2854
METTL4	232	150	610	265	53	144	127	511	0	17	7	22	584
METTL5	529	717	1801	3105	1213	410	1773	3314	959	654	138	1410	2044
METTL6	148	163	310	547	246	133	228	207	27	39	16	17	3
METTL7A	816	708	746	1083	194	471	253	593	82	155	11	293	359
METTL7B	2	20	163	1	0	1	6	0	0	20	0	0	0
METTL8	514	441	430	947	716	1203	202	1044	104	467	40	413	77
METTL9	1369	1287	1533	3391	1911	2404	2193	2433	2211	1959	107	1110	3002
MEX3A	210	53	79	203	55	0	7	17	0	10	0	3	2
MEX3B	164	141	175	425	913	606	539	892	328	409	1	608	0
MEX3C	149	484	579	545	693	583	858	360	1164	2154	274	889	2584
MEX3D	3	24	1	7	9	4	0	0	2	0	0	2	0
MFAP1	283	590	2069	1429	136	141	235	604	315	257	43	312	2
MFAP2	38	0	405	11	38	56	155	0	0	14	31	0	5
MFAP3	41	159	479	937	109	50	158	342	85	87	7	260	0
MFAP3L	68	0	46	0	110	0	32	8	0	0	10	0	4
MFAP4	0	62	579	0	0	133	3	0	0	72	0	0	0
MFAP5	2	0	1	1	1	1	0	0	0	0	0	0	7
MFF	781	1153	1969	2216	1425	1287	1744	2878	886	1166	112	1558	2734
MFGE8	144	96	187	84	172	62	10	2	96	133	7	44	0
MFHAS1	8	54	134	234	402	114	25	229	17	132	2	111	354
MFI2	32	44	122	0	14	49	0	4	57	9	0	2	0
MFI2-AS1	162	57	68	8	9	84	2	16	29	32	3	11	51
MFN1	323	267	105	958	277	456	200	848	169	427	17	264	719
MFN2	632	698	518	694	681	1393	310	638	672	567	55	333	1
MFNG	511	1089	2937	1880	1807	1029	510	1427	532	736	46	1804	887
MFSD1	2121	2836	6024	3981	4212	3614	2967	5500	899	2328	150	1610	4381
MFSD10	662	897	902	221	560	885	90	196	155	857	55	215	190
MFSD11	390	316	425	648	652	147	202	704	105	412	28	236	274
MFSD12	109	131	51	1	21	35	15	14	34	221	0	36	0
MFSD2A	80	136	65	43	90	51	0	0	20	180	1	0	0
MFSD2B	2	0	0	112	0	0	0	268	5	0	0	79	0
MFSD3	247	265	209	65	65	58	27	80	0	46	0	61	0
MFSD4	5	135	54	0	2	15	6	0	0	16	9	1	394
MFSD5	454	413	292	406	235	154	74	179	252	167	0	283	326
MFSD6	281	164	743	554	330	510	270	603	508	547	49	380	14
MFSD6L	0	0	0	0	19	0	0	0	0	0	0	0	1
MFSD7	3	4	3	0	1	0	0	1	0	1	0	1	0
MFSD8	270	315	509	458	493	326	989	720	158	520	19	446	414
MFSD9	10	6	71	98	117	19	13	172	14	20	0	153	0
MGA	967	840	1530	1740	1323	653	462	1182	254	411	58	331	569
MGAM	1	0	0	0	0	2	0	0	0	13	0	6	0
MGARP	0	23	0	0	0	0	0	0	0	17	0	0	0
MGAT1	777	535	648	562	421	361	65	211	173	336	6	86	251
MGAT2	1295	1061	596	1006	822	291	451	424	30	152	13	162	4
MGAT3	12	11	1	140	0	0	0	71	0	0	0	11	0
MGAT4A	51	173	947	25	598	824	1212	131	135	521	57	243	1788
MGAT4B	261	70	66	335	59	133	15	253	65	54	0	74	1
MGAT4EP	0	6	0	0	0	0	0	0	0	1	0	3	5
MGAT5	339	746	359	350	288	259	233	125	4	259	26	60	12
MGAT5B	5	2	0	0	0	0	0	0	0	0	0	0	1
MGC12916	14	0	0	0	30	64	62	0	0	24	0	0	0
MGC16025	4	14	0	0	0	0	0	0	0	0	0	0	0
MGC16142	10	5	4	9	1	0	0	3	1	0	0	0	0
MGC16275	113	60	243	67	307	107	142	31	189	236	32	68	161
MGC27345	344	379	466	533	515	131	260	403	133	326	18	121	412
MGC2889	1	0	0	28	0	0	0	98	0	0	0	0	0
MGC32805	0	0	0	0	0	0	0	0	0	0	0	0	1
MGC39584	0	0	1	0	0	0	0	0	1	0	0	0	0
MGC45800	0	0	3	0	0	0	0	0	1	0	0	0	2
MGC57346	133	250	665	342	303	77	152	139	74	144	9	107	0
MGC70870	211	151	465	268	92	109	170	36	9	114	2	13	16
MGC72080	97	77	73	107	192	84	72	113	12	25	4	68	31
MGEA5	1805	2377	3097	2820	3807	4369	3300	4705	3865	4621	225	2845	3569
MGLL	773	1269	1336	1317	773	306	178	949	849	864	92	1019	156
MGME1	402	482	610	817	773	157	290	909	11	187	50	224	678
MGMT	220	685	847	892	226	632	710	456	172	567	50	224	176
MGP	0	0	0	0	0	0	0	0	0	3	0	0	0
MGRN1	175	95	52	102	204	299	11	36	104	136	13	88	7
MGST1	1726	3836	3016	2516	2066	3273	1962	1480	1158	4231	105	660	2020
MGST2	1124	1538	1461	3740	1331	1204	985	1868	220	644	19	466	274
MGST3	672	976	1642	1063	658	1417	906	582	367	914	84	116	1247
MIA	0	0	0	0	0	0	0	0	0	1	0	0	0
MIA2	0	0	0	0	0	0	0	0	0	0	0	2	0
MIA3	638	314	1657	881	1614	691	368	1599	1567	1209	111	1075	1277
MIAT	0	1	48	33	13	4	92	4	22	15	3	2	0
MIATNB	20	20	204	58	0	167	49	53	48	47	1	27	1
MIB1	883	559	1878	1563	681	927	413	1621	539	472	46	432	2759
MIB2	28	22	49	17	2	7	5	0	42	26	6	14	0
MICA	35	98	175	261	159	88	99	139	138	95	14	70	68
MICAL1	1202	904	854	72	821	582	90	9	187	517	4	80	160
MICAL2	162	3	0	1256	334	9	63	987	128	30	4	713	0
MICAL3	486	337	243	647	734	212	74	269	122	195	2	159	0
MICALCL	0	0	0	108	15	0	0	31	3	0	0	51	0
MICALL1	151	84	398	183	329	193	18	113	66	200	12	48	37
MICALL2	35	53	7	80	62	354	0	71	147	28	6	51	0
MICB	224	164	143	195	29	177	156	295	254	220	15	157	104
MICU1	477	511	1397	1236	1029	407	440	1034	585	488	12	415	544
MICU2	337	845	1698	2869	1536	754	1479	4130	619	1532	187	1975	2680
MICU3	139	44	309	18	274	174	244	118	0	118	0	2	0
MID1	0	1	195	0	0	3	0	32	0	0	0	0	7
MID1IP1	118	148	39	107	43	118	3	44	58	118	1	14	3
MID1IP1-AS1	2	12	15	10	0	15	5	2	9	6	0	4	0
MID2	0	0	121	0	0	0	0	0	0	0	0	0	2
MIDN	79	179	33	50	103	135	26	25	68	186	4	28	147
MIEF1	518	453	828	863	642	902	323	569	290	362	16	444	441
MIEF2	36	208	59	99	107	23	57	1	0	48	0	25	190
MIEN1	1131	1098	1534	2824	1983	938	1112	1733	654	708	79	872	416
MIER1	1155	941	3845	2795	3753	2099	2856	4146	2116	4056	715	3477	3524
MIER2	100	112	15	31	34	53	6	29	20	12	0	20	0
MIER3	144	463	459	875	752	247	343	927	575	1418	108	857	217
MIF4GD	386	682	810	644	666	421	589	694	85	890	72	537	370
MIIP	155	267	381	210	234	116	20	68	57	236	1	281	0
MILR1	2	21	43	0	0	33	18	0	0	119	0	0	1
MINA	38	56	691	722	63	386	492	854	16	136	1	404	4
MINK1	157	76	163	114	27	20	3	25	23	77	0	31	0
MINOS1	1397	1528	848	3109	1863	2090	1154	1999	803	1023	18	512	927
MINOS1P1	65	95	145	229	141	113	148	114	38	62	6	28	52
MINPP1	583	222	2033	2931	142	247	106	2122	567	123	23	907	0
MIOS	516	438	897	166	755	583	160	606	389	921	45	611	630
MIP	0	0	1	0	0	0	0	0	0	0	0	0	0
MIPEP	372	233	735	1088	923	405	195	875	177	225	23	645	0
MIPEPP3	48	65	201	346	157	1	144	237	5	15	1	145	23
MIPOL1	60	0	536	1	3	0	89	47	4	17	29	65	1
MIR100HG	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR101-1	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR103A2	0	2	2	7	5	4	3	4	2	3	0	0	1
MIR106B	0	0	0	0	1	0	0	1	0	0	0	0	0
MIR1200	10	16	0	0	0	0	0	0	0	0	0	0	0
MIR1204	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR1206	0	0	0	0	0	0	0	2	0	0	0	1	0
MIR1207	0	0	0	0	0	0	0	3	0	0	0	0	0
MIR1226	8	0	1	0	1	0	0	4	1	0	1	0	0
MIR1238	0	2	0	0	0	0	0	0	0	0	0	0	0
MIR124-2HG	0	2	0	0	0	0	0	0	0	0	0	0	0
MIR1244-1+MIR1244-2+MIR1244-3	1700	1756	1089	2589	2319	1975	1350	2149	1497	1836	180	827	1093
MIR1248	0	0	2	0	0	1	0	1	0	0	0	0	1
MIR1256	1	0	0	0	0	1	0	0	0	2	0	0	0
MIR1273H	0	0	0	0	0	0	0	0	0	1	0	0	0
MIR128-1	0	0	0	2	0	0	0	0	0	0	0	0	0
MIR1284	0	0	9	1	0	0	0	1	0	0	0	0	0
MIR1291	0	3	1	1	0	0	1	1	0	6	0	11	0
MIR1292	0	0	2	1	0	0	0	4	0	0	0	1	0
MIR1296	0	0	8	0	0	0	0	0	0	0	0	2	12
MIR1304	0	0	7	8	7	0	0	0	0	0	0	5	0
MIR133A1HG	27	0	0	30	0	0	0	16	23	79	0	0	0
MIR1343	0	0	3	0	0	0	0	0	0	1	0	0	0
MIR142	10	15	5	2	12	9	3	6	30	20	0	2	0
MIR146A	0	0	0	0	0	0	1	0	0	0	0	0	0
MIR150	0	1	2	1	3	1	0	1	0	1	0	1	0
MIR1537	0	0	0	2	0	0	0	0	0	0	0	1	0
MIR155HG	155	201	873	266	495	210	1663	195	66	195	92	60	1222
MIR15A	0	4	1	0	2	8	1	0	3	7	0	3	0
MIR16-1	0	0	0	0	0	3	0	0	1	0	0	0	0
MIR16-2	0	3	3	0	0	2	1	0	0	6	0	0	0
MIR17HG	294	700	717	339	6	213	449	127	41	185	2	149	632
MIR181A1HG	27	31	5	9	21	165	106	21	146	356	9	162	50
MIR181A2	0	0	0	0	0	0	0	3	0	0	0	0	0
MIR181A2HG	42	31	25	23	2	27	6	15	25	25	0	5	42
MIR181B1	0	0	0	0	0	0	0	1	0	0	0	3	0
MIR181D	0	0	0	0	0	0	0	0	0	1	0	0	0
MIR186	2	0	8	0	1	2	12	2	0	0	2	0	1
MIR1909	0	1	0	0	11	0	0	0	0	4	0	1	0
MIR190B	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR1914	1	0	0	1	0	0	0	0	0	0	0	0	0
MIR202HG	1	0	0	12	1	0	0	0	0	0	0	0	0
MIR21	7	9	0	5	1	0	0	1	28	24	0	9	0
MIR210HG	0	0	0	0	0	1	0	1	0	0	0	1	2
MIR219A1	0	0	0	0	0	0	1	0	0	0	0	0	0
MIR221	0	10	31	17	0	0	2	9	16	66	2	7	100
MIR222	0	0	0	0	0	0	0	0	0	11	0	0	0
MIR223	44	39	42	113	184	68	59	175	0	2	1	17	40
MIR22HG	88	0	59	0	271	3	4	29	147	192	22	197	0
MIR23A	2	0	0	1	0	0	0	0	0	0	0	0	0
MIR24-2	7	0	1	0	0	2	0	0	0	3	0	0	0
MIR25	3	5	9	8	2	0	0	0	0	0	0	5	0
MIR26A1	7	0	0	0	0	0	0	0	0	0	0	0	0
MIR27A	8	3	0	0	0	2	0	0	0	1	0	0	0
MIR296	0	0	0	0	0	0	0	1	0	0	0	0	0
MIR29A	0	0	0	0	0	0	0	0	0	5	0	0	0
MIR29B2	0	0	0	0	0	0	0	0	0	5	3	0	45
MIR29C	0	1	6	0	0	15	3	0	0	5	3	1	25
MIR301A	0	0	0	0	0	0	6	0	0	12	0	0	0
MIR302A	0	0	0	0	0	0	0	0	5	3	0	0	0
MIR302B	12	0	0	0	0	0	0	0	0	7	0	0	0
MIR302C	4	0	0	0	0	0	0	0	0	3	0	0	0
MIR3064	5	26	220	84	221	84	166	395	117	229	36	417	527
MIR3074	0	0	1	0	0	0	0	0	0	0	1	0	0
MIR30C2	0	0	0	0	0	0	0	0	0	1	0	0	0
MIR3115	0	0	0	0	2	0	0	0	0	0	0	1	0
MIR3117	0	0	0	0	0	0	0	0	0	0	1	0	0
MIR3122	0	0	0	0	0	1	0	0	0	0	0	0	0
MIR3124	0	0	0	0	0	8	0	0	1	0	0	0	0
MIR3134	1	0	0	0	0	0	0	0	0	3	0	1	0
MIR3136	0	0	6	0	0	0	0	0	0	0	0	0	0
MIR3143	0	1	0	0	0	0	3	0	0	0	0	0	0
MIR3153	0	0	0	0	0	0	0	0	0	8	0	6	0
MIR3155A	0	0	0	0	0	0	0	0	0	1	0	0	0
MIR3170	0	0	0	0	1	0	0	0	0	0	0	0	0
MIR3173	0	0	0	0	0	0	0	0	0	5	0	0	0
MIR3175	0	0	0	0	0	0	0	0	7	2	0	0	0
MIR3179-1+MIR3179-2+MIR3179-3	0	0	0	0	6	0	0	0	0	0	0	0	0
MIR3180-1+MIR3180-2+MIR3180-3	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3188	0	0	0	0	0	0	0	0	1	1	0	0	0
MIR3192	0	0	0	0	0	0	0	0	0	1	0	0	0
MIR3193	0	0	0	0	0	0	0	0	7	3	0	0	0
MIR3198-1	0	6	10	0	28	10	0	0	0	18	0	3	0
MIR32	0	0	13	0	0	0	0	0	0	0	0	0	0
MIR320A	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR320C1	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR320D1	0	2	0	0	0	2	0	0	0	0	0	0	0
MIR320E	4	0	0	0	0	0	0	1	5	7	0	1	0
MIR324	0	0	0	0	10	2	0	0	0	11	0	0	0
MIR326	3	0	0	0	0	0	0	0	0	0	0	0	0
MIR331	0	0	0	0	0	0	0	5	0	0	0	0	0
MIR335	0	0	0	0	0	0	0	0	18	0	0	0	0
MIR33B	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR340	0	0	0	4	0	0	0	0	0	0	0	0	0
MIR3607	8	12	7	17	0	0	0	0	19	5	0	1	0
MIR3609	0	0	0	0	2	0	0	2	1	0	0	0	0
MIR3613	0	0	0	0	0	0	0	0	8	0	0	0	0
MIR3620	1	12	21	7	5	7	1	2	6	11	2	17	3
MIR3651	4	0	0	0	0	0	0	0	0	1	0	0	0
MIR3662	0	0	0	1	0	0	0	14	0	1	0	5	41
MIR3663HG	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR367	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR3671	8	5	41	5	29	6	8	20	3	5	1	2	40
MIR3679	0	0	0	0	0	0	0	0	0	2	0	0	0
MIR3682	26	16	14	11	0	0	0	3	17	0	0	8	0
MIR3685	0	0	0	0	0	7	1	6	7	1	0	1	0
MIR3687-1	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR3692	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR374A	0	0	0	0	0	1	0	0	0	0	0	0	0
MIR378D2	0	0	0	5	0	0	0	0	0	4	0	0	0
MIR378E	2	0	0	0	0	0	0	0	0	0	0	0	0
MIR378J	0	0	0	0	30	0	0	7	0	0	2	5	0
MIR3909	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR3911	0	0	0	0	0	0	1	0	0	3	1	0	0
MIR3916	0	0	1	1	0	0	0	0	5	0	0	2	0
MIR3917	0	0	0	0	0	0	0	1	0	0	0	0	0
MIR3919	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR3939	0	0	0	0	0	17	0	0	0	0	0	0	0
MIR3942	0	0	5	8	0	0	0	0	0	0	0	0	0
MIR3943	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR3945	0	0	0	0	3	2	0	0	5	11	0	0	0
MIR3975	11	2	0	0	0	4	0	0	1	0	0	0	0
MIR421	0	0	9	0	0	0	0	0	0	0	0	3	0
MIR425	0	4	0	0	0	0	0	0	0	3	1	4	0
MIR4254	0	0	0	0	0	2	0	0	0	0	0	0	0
MIR4261	0	0	0	0	0	0	0	0	1	0	0	0	0
MIR4263	0	0	9	0	0	3	7	0	0	0	0	0	0
MIR4278	0	0	0	0	0	0	0	0	0	4	0	0	0
MIR4298	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR4420	0	0	0	0	0	9	0	0	0	2	0	0	0
MIR4434	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR4435-1HG	837	357	462	3820	1699	571	444	2569	749	325	35	1253	570
MIR4437	0	0	0	0	0	6	0	0	0	0	0	0	0
MIR4439	0	0	0	0	0	0	0	0	0	2	0	0	0
MIR4444-1+MIR4444-2	1	1	0	0	0	0	3	4	0	5	0	4	6
MIR4458HG	217	190	291	80	188	190	308	64	30	111	14	6	48
MIR4461	0	1	3	6	3	0	7	2	0	6	0	1	1
MIR4469	0	0	0	0	0	2	0	0	0	0	0	1	0
MIR4482	0	0	0	0	0	0	0	0	0	3	0	1	0
MIR4505	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR4513	0	0	0	0	0	1	0	0	0	0	0	0	0
MIR4516	0	2	0	0	0	0	0	0	0	0	0	0	0
MIR4517	0	0	0	4	0	0	0	1	0	0	0	0	0
MIR4519	0	0	4	1	0	0	2	1	0	0	0	1	0
MIR4529	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR4535	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR454	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR4649	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR4651	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR4659A	0	0	1	1	0	0	0	0	0	0	0	0	0
MIR4668	0	0	0	0	0	0	0	0	0	0	0	0	3
MIR4670	0	0	0	2	0	0	0	0	0	0	0	0	0
MIR4674	0	0	0	0	0	0	0	0	1	0	1	0	0
MIR4674HG	5	9	12	0	0	8	5	9	41	41	2	9	0
MIR4676	0	0	0	0	4	0	0	0	0	0	0	1	0
MIR4677	0	4	0	0	0	0	0	0	0	0	0	0	0
MIR4678	0	0	0	8	0	0	0	0	0	0	0	0	0
MIR4685	0	0	0	0	0	0	0	5	0	0	0	2	0
MIR4690	2	0	0	0	0	0	0	0	0	0	0	3	0
MIR4691	6	4	0	0	19	0	0	0	0	0	0	10	0
MIR4697HG	0	0	24	0	0	0	14	0	0	0	0	0	0
MIR4712	0	8	31	5	0	29	7	17	0	3	1	2	0
MIR4720	5	0	0	0	0	0	0	0	0	0	0	0	0
MIR4721	2	8	9	8	5	8	2	7	2	10	0	13	1
MIR4722	0	0	4	0	0	0	0	0	1	2	0	0	0
MIR4723	0	0	2	0	0	0	0	0	0	1	0	1	0
MIR4727	0	0	3	0	0	0	0	0	0	0	0	0	0
MIR4728	0	0	2	0	0	0	0	0	0	0	0	0	0
MIR4730	0	0	0	0	0	0	0	0	0	0	0	2	0
MIR4736	0	0	1	0	0	0	0	0	0	0	0	0	0
MIR4737	0	0	4	2	0	0	2	0	0	0	0	0	0
MIR4740	0	3	0	0	0	0	0	0	0	0	0	0	0
MIR4742	0	0	1	0	0	0	0	5	7	4	1	0	0
MIR4743	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR4744	0	0	5	0	0	0	0	0	0	0	0	0	0
MIR4746	0	0	0	0	0	1	0	0	0	0	0	0	0
MIR4750	1	0	0	0	1	0	0	0	0	0	0	0	0
MIR4754	0	0	1	0	0	4	0	2	0	0	0	1	0
MIR4755	0	0	0	0	0	0	0	0	0	4	0	1	0
MIR4762	0	1	0	6	0	0	0	0	0	0	0	0	0
MIR4766	0	0	0	0	0	0	0	0	0	0	0	3	0
MIR4773-1+MIR4773-2	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR4774	0	9	18	5	0	10	0	0	13	12	0	0	0
MIR4781	0	0	0	0	0	4	0	0	0	0	0	0	0
MIR4786	0	0	0	1	0	0	0	3	0	0	0	0	0
MIR4796	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR491	0	0	0	0	0	0	0	0	0	3	0	4	0
MIR497HG	9	5	4	6	9	1	1	1	4	16	3	10	0
MIR4999	0	0	8	0	0	0	0	0	0	0	0	0	0
MIR5000	0	0	7	11	7	0	0	0	0	0	0	0	0
MIR5001	0	0	2	2	0	0	1	4	0	0	0	1	0
