NBM_91_bulk_CMP	NBM_91_bulk_GMP	NBM_91_bulk_HSC	NBM_91_bulk_MEP	OX1407_bulk_CMP	OX1407_bulk_GMP	OX1407_bulk_HSC	OX1407_bulk_MEP	OX1570_bulk_CMP	OX1570_bulk_GMP	OX1570_bulk_HSC	OX1570_bulk_MEP	OX753_bulk_HSC
ADAMTSL2	1	0	0	0	0	0	0	0	2	0	0	0	0
ADAMTSL3	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTSL4	22	241	190	75	54	281	83	2	11	78	4	0	223
ADAMTSL4-AS1	0	13	16	0	1	15	15	0	99	68	4	2	0
ADAP1	29	64	67	0	0	11	2	0	18	10	0	0	0
ADAP2	0	100	0	0	0	0	0	1	0	1	0	0	0
ADAR	2135	2446	4633	3972	2664	2785	2406	3122	2539	3276	273	2621	1034
ADARB1	525	640	204	560	568	314	34	382	557	193	0	233	0
ADARB2	0	0	0	1	0	1	28	0	10	1	0	0	2
ADAT1	347	516	293	39	159	218	4	299	3	289	19	66	5
ADAT2	850	1066	1951	2052	1745	2416	567	3569	735	1556	149	1454	1843
ADAT3	6	16	19	1	14	13	15	1	0	0	0	0	0
ADCK1	82	155	118	370	28	409	12	281	1	31	16	215	10
ADCK2	371	622	516	86	136	405	53	123	70	230	2	18	54
ADCK3	1079	1611	679	1169	2192	2163	582	1380	1275	1149	45	1380	275
ADCK4	304	210	545	113	109	222	25	164	109	78	3	260	208
ADCK5	60	41	61	26	1	0	0	18	0	14	0	19	0
ADCY1	0	3	0	36	103	0	0	25	0	35	0	5	0
ADCY10	0	0	0	0	0	0	0	7	0	0	0	42	0
ADCY10P1	42	40	55	32	120	137	155	82	168	305	31	22	0
ADCY2	0	0	4	0	7	0	0	0	0	0	0	0	1
ADCY3	163	328	273	62	214	342	78	46	161	303	11	22	175
ADCY4	3	0	57	0	0	30	0	0	23	0	0	1	0
ADCY6	106	94	536	72	413	9	23	58	222	90	0	149	0
ADCY7	551	1293	1102	1874	580	881	343	2126	362	843	44	542	507
ADCY8	0	0	0	0	0	1	0	0	0	0	0	0	0
ADCY9	1	42	13	0	2	6	2	7	26	45	0	0	231
ADCYAP1	11	0	0	0	0	0	0	0	51	0	0	5	0
ADD1	1236	1593	1651	1978	937	1293	554	1067	634	768	50	887	276
ADD2	0	2	0	533	0	0	0	804	0	0	0	151	0
ADD3	905	2053	2184	732	396	976	900	376	461	1217	89	342	978
ADD3-AS1	2	0	3	0	0	0	0	0	0	0	0	0	0
ADGB	0	0	0	17	0	0	0	2	0	0	0	0	0
ADH1A	0	0	0	1	0	0	0	0	0	0	0	0	0
ADH1B	0	0	0	1	0	3	0	0	0	3	0	0	0
ADH1C	0	0	0	0	0	1	0	0	0	0	0	0	0
ADH4	0	24	1	0	0	0	0	0	0	0	0	1	0
ADH5	728	1264	2804	3266	2362	529	1470	3047	1011	847	105	1676	1789
ADH6	2	0	0	0	0	0	0	1	0	0	0	0	0
ADH7	0	0	0	1	0	0	0	0	0	0	0	0	0
ADHFE1	39	109	1247	164	647	259	471	509	3	131	31	208	411
ADI1	894	861	2541	3754	2092	1425	2050	3979	851	1529	210	1927	4253
ADIPOQ	0	0	1	1	0	2	0	1	0	0	0	0	3
ADIPOQ-AS1	0	0	0	0	0	0	0	0	0	0	0	1	1
ADIPOR1	969	1135	2329	2896	2085	1129	868	2911	1812	2501	514	3742	3839
ADIPOR2	759	665	738	1246	945	583	372	798	153	345	5	235	1668
ADIRF	0	0	0	0	2	0	0	0	0	0	1	0	0
ADK	484	936	1946	1498	2964	2568	1874	1825	745	1434	115	1393	4801
ADM	0	1	23	0	0	237	0	0	24	7	0	0	0
ADM2	0	0	1	1	0	0	0	0	0	3	2	3	0
ADM5	137	82	102	13	124	36	21	7	15	53	0	3	0
ADNP	1518	1988	6888	6932	4072	3013	3349	5050	1990	2478	312	1998	3711
ADNP-AS1	1	0	54	19	0	2	9	13	5	25	11	12	0
ADNP2	910	686	558	1063	903	1744	363	1117	2423	2754	165	1308	1782
ADO	345	477	277	669	376	431	247	291	195	484	14	70	232
ADORA2A	0	0	0	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	0	0	0	0	0	0	0	0	0	0	0	6	0
ADORA2B	50	0	0	173	0	13	0	97	0	0	0	10	0
ADORA3	0	2	0	0	0	0	0	0	2	5	5	0	0
ADPGK	1204	1980	1753	1422	1830	2798	734	2257	1995	2636	189	1053	2320
ADPGK-AS1	158	53	20	6	39	104	3	34	81	199	2	21	0
ADPRH	93	69	325	197	58	178	143	57	0	67	19	74	1
ADPRHL1	22	21	0	0	11	0	0	0	17	31	0	0	3
ADPRHL2	493	242	911	279	30	370	83	295	169	507	18	279	211
ADPRM	170	287	929	867	235	395	816	1333	537	181	78	1284	0
ADRA1A	1	0	0	0	1	1	0	3	0	0	0	0	1
ADRA1D	0	0	0	0	0	0	0	1	0	0	0	1	0
ADRA2A	11	0	171	100	53	0	72	24	44	1	6	43	4
ADRB1	0	16	27	0	0	47	7	0	0	132	0	22	0
ADRB2	2	142	109	0	0	68	0	0	0	116	0	0	1
ADRBK1	1312	1402	707	362	464	1331	88	151	828	1187	14	123	121
ADRBK2	859	678	967	910	1140	1086	294	1248	912	802	88	381	1572
ADRM1	511	765	750	517	335	424	44	420	275	609	34	453	119
ADSL	1537	1443	3032	6345	4439	2845	2830	5056	996	1470	107	2087	4864
ADSS	426	600	870	1439	1708	1141	820	2029	266	843	60	585	943
ADSSL1	28	9	63	13	203	45	0	0	6	1	4	3	0
AEBP1	430	167	179	108	335	527	78	71	146	38	1	55	40
AEBP2	545	629	2440	1600	1867	1242	2037	3051	709	1346	251	1356	5244
AEN	345	626	197	664	429	419	64	422	430	295	0	92	0
AES	645	654	539	532	507	736	179	352	726	465	28	279	122
AFAP1	0	0	0	0	0	0	1	0	1	0	0	0	0
AFAP1-AS1	0	0	0	0	0	0	2	0	0	0	0	0	2
AFAP1L1	1	30	6	5	0	0	0	125	0	26	0	16	2
AFAP1L2	23	1	156	4	0	2	24	2	0	0	2	0	0
AFF1	1179	1478	2643	2509	1091	912	909	2115	1361	886	136	1524	3085
AFF2	27	14	0	5	19	1	2	23	0	99	0	3	2
AFF3	382	922	389	682	59	104	211	275	476	1635	46	637	46
AFF4	280	296	621	355	607	696	62	407	905	1730	114	997	662
AFG3L1P	546	550	27	1075	639	739	137	411	214	558	64	313	4
AFG3L2	1190	696	1286	975	1549	1548	426	1106	1059	975	53	730	2045
AFMID	478	577	864	1357	901	773	292	1206	209	390	24	323	570
