  Dim1	Dim2
  -28.3112   22.0424
   20.2127   -4.3379
   33.2383   11.8459
   36.8703   18.9904
  -31.4838   28.5843
   25.9963    2.1440
    3.2433   21.1084
   58.5052    5.5878
   17.3537    1.6443
   16.8374    5.8811
   49.1830   21.0567
   25.3266  -13.5564
   19.4542   -1.0217
   30.6082   14.0789
   18.1853   -2.6895
   36.9610   37.4491
   57.4608    4.9202
   50.2113   12.1041
  -49.8889    6.1595
  -58.7963   -7.9826
  -62.3603  -10.6020
  -57.2307   -9.1204
  -54.9478   -8.6952
  -59.2962   -9.6382
  -63.6104  -11.2597
  -58.0495   -9.5073
  -62.2131  -11.6081
  -44.4351   -8.5230
  -69.2047   -8.5987
  -48.4114  -12.3784
  -66.8356  -13.6699
  -67.6081   -8.7582
  -49.5890   -6.4910
  -70.4838   -9.5260
   -6.0583    9.0755
  -73.2792  -11.2183
  -59.9026  -19.8794
  -71.5964  -11.6893
  -66.9496  -14.4268
  -61.2980   -6.3724
  -70.5211  -11.6500
  -70.6569  -12.8897
   -6.1724   -6.9867
  -73.3874  -12.4808
  -12.4469  -14.3960
  -47.0772  -25.6640
  -68.5182  -16.5564
   16.9770   -8.7432
  -72.7136  -13.7726
   24.2511   43.2937
   17.0384  -11.9711
  -16.9273   27.8971
  -61.3515   -8.0217
  -61.1153  -10.5891
  -62.9810   -8.9652
  -60.8268  -15.2157
  -66.6078   -7.8712
  -63.8594   -7.9304
  -64.0033  -10.2961
  -61.2156  -12.5416
  -66.6646   -6.4512
  -63.3412   -6.7696
  -57.2339  -19.1349
  -65.7887  -10.7406
  -58.8718  -17.2138
  -33.7859   28.9905
  -72.3442  -12.8142
  -57.6120   -3.5833
  -69.7088  -13.3886
  -56.0792  -21.4500
   24.7490   10.7686
   -2.0443    9.0854
   31.5199    4.4823
   24.3059   11.2884
    8.2173    8.1315
    3.2158   25.9573
    2.3462   25.6484
   50.1519    2.2795
   31.5053  -18.7340
   48.6863    2.7537
   -2.9024   29.9429
  -12.2861   32.5897
  -33.5148    3.3182
  -38.0741    4.2320
  -31.3541    4.7570
  -38.7935    2.9481
  -36.0881    8.8726
  -37.4325    1.0792
  -19.9500   33.5225
  -41.5729    5.0312
  -35.5296    4.2631
  -40.1508    6.1613
  -38.3314    6.8089
  -39.3897    5.2718
  -33.1731    5.0518
  -31.1389    7.7887
  -38.1878    5.7954
  -29.7865    3.9599
  -35.7447    6.4432
  -28.1044    4.2262
  -35.3446    5.7740
  -27.1413    5.8407
  -36.5906    5.6090
  -36.6965    2.6412
  -29.6446    6.5968
  -28.8223    7.5673
  -28.0546   20.0662
  -30.2348    0.3928
    0.9403   20.7295
    2.3344   20.0473
    3.8932   19.4226
  -25.3809    4.8309
  -26.1661    3.6266
  -22.6512    3.3379
  -21.8950    3.0252
  -27.8517   12.6691
   -0.4499   21.4815
    3.6554    6.7159
    5.0375    6.3217
    1.8007   17.3410
  -23.2843    5.4042
    6.8217    0.0663
    9.2322   15.3013
   12.7972   10.9022
    6.2912    5.8865
    2.5414   23.2378
   -5.9789   31.4201
  -21.4688  -16.4875
    3.8386  -24.2619
   20.8230  -21.5968
  -21.9409  -34.4324
    3.7853  -21.1967
   19.8910  -23.3077
    7.8480  -21.1449
    5.9707  -25.1085
   14.2421  -19.3099
    3.1899  -22.5953
    4.6669  -22.0703
   21.5865  -19.7702
   54.3355   -2.3440
   21.6886  -22.5906
   45.3782  -14.9185
   60.3057   12.5476
   -6.9378  -27.7570
   43.9807  -10.4575
   36.6462  -23.2597
   10.4553  -22.4399
   31.6925  -14.9369
   36.7771  -21.9944
   41.8665  -16.9102
   32.8526  -13.4169
   45.5204   -6.3489
   36.1539  -19.4139
   40.2869  -13.9871
   42.5509  -15.7075
   38.0857  -20.6551
   38.4139  -15.3951
   44.4142   -9.4384
   61.0789   11.2473
   55.8028    1.1926
   37.5737  -17.1811
   37.9977  -18.6445
   60.1905   10.8001
   38.8639  -17.2055
   52.2116   10.8793
   26.7765  -21.5467
   44.7999  -19.0267
   43.6421  -12.2082
   46.1637   -6.9066
   37.3484  -17.8233
   59.1479    3.3557
   43.5013  -14.9995
   39.8607  -17.5931
  -39.1397    8.6773
  -33.2581   10.5591
  -38.2328   11.8840
  -35.1100   10.1126
  -34.8054   11.1447
   28.5187    1.0308
  -37.1110    7.3969
  -39.6415    7.1784
  -35.2290   15.1307
  -37.0715   13.4653
  -38.5823   13.5932
  -36.1877   12.1854
  -37.5611    8.5156
  -33.5419   12.8819
  -40.3907    3.0896
  -35.0457   13.3645
  -35.5144    7.7343
  -37.4037   10.8730
  -34.1138   13.8712
  -29.7189   12.2751
  -34.2569    8.7276
  -36.1334   11.3447
  -30.4893   13.2424
  -40.7176    9.3263
  -28.0968    8.9939
  -41.3538   10.9062
  -34.1372    6.3474
  -31.9572    9.6607
  -38.6326    9.7902
  -29.7785   10.2587
  -37.0329    9.9752
  -29.9009    8.4295
  -26.7046    8.3540
  -23.4020    7.7402
  -40.8602   13.3013
  -32.9186    7.0045
  -32.6889    8.1545
  -24.9350    7.2542
  -27.7714   14.1066
  -39.3693   11.0151
   10.3286    5.2676
    9.2810    4.9892
  -36.0374   -9.0089
  -10.8383   25.8866
  -10.3014   26.5957
   26.3141   18.5358
  -10.2058   28.5705
  -12.5987   30.3542
  -23.3193   27.3887
  -13.1699   31.0702
  -21.0142   33.0385
   -9.7956   23.3846
   -9.8537   23.9437
  -25.0741   33.0487
  -11.5386   28.2059
  -24.4744   32.2684
   26.8953   18.4674
  -11.2351   30.9569
  -24.0693   33.6011
  -23.9654   34.2651
  -22.7385   32.8868
  -10.0601   30.8213
    3.7510   -4.9591
   39.1652  -12.0300
   32.0863  -22.2445
   31.1395  -15.6006
   32.9126  -20.7449
   53.7431   10.7900
   28.0662  -15.5023
   14.5503   16.8711
   33.8898  -22.3983
   32.7357  -22.4184
   58.8696   -2.1668
   38.7186  -10.0793
   56.8505    2.9791
   59.2429   10.9669
   59.1294    0.2991
   58.1759    1.3246
   39.4649  -20.9117
   54.2574    1.5784
   60.6502    0.2134
   60.2020    0.6725
  -11.4585    7.2879
   32.1649   38.2700
   29.7736   34.1600
   30.9734   37.1729
   29.9857   33.2680
   33.3826   36.5385
