gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
PRSS57	4.231379607805	0.708324606312312	-3.52305500149269	477	155	321	24	0.672955974842767	0.154838709677419	6.21763576317108e-29	1.22166344572632e-30	3.46757423852825e-27	5.54111693044438e-55	2.52561268091229e-52
HLA-DRA	7.36291813029461	10.7790761405704	3.41615801027583	477	155	447	155	0.937106918238994	1	0.00286655384346976	0.000283493158539894	3.0649594651335e-53	1.1303047028465e-54	5.02307409944983e-52
PRKACB	3.7858666981195	0.763770423394769	-3.02209627472473	477	155	316	22	0.662473794549266	0.141935483870968	4.31459064463766e-29	4.57569298841156e-31	2.62000521293091e-25	1.52804370962218e-53	6.62500121518143e-51
CLECL1	0.0410167554528162	1.41211490613978	1.37109815068696	477	155	3	43	0.00628930817610063	0.27741935483871	1.11556946635614e-28	3.17569148914094e-25	1.89562098354344e-29	7.43726592057634e-52	3.14773426200393e-49
CRIP2	0.0978166143609113	1.60123061807251	1.5034140037116	477	155	7	48	0.0146750524109015	0.309677419354839	6.70676920352146e-29	4.52141460334817e-25	1.74236861938627e-29	9.71160998341354e-52	4.01473439686416e-49
EAF2	5.11209930630182	1.44661293938046	-3.66548636692136	477	155	385	50	0.807127882599581	0.32258064516129	3.44696819313583e-29	5.87184160268547e-28	2.56283050387621e-25	1.81072592148498e-50	7.31533272279931e-48
CD74	11.5180703455543	13.5885215069989	2.07045116144464	477	155	477	155	1	1	NA	1	7.26114803221155e-50	8.28836207365642e-48	3.27408720491815e-45
HNRNPA1L2	7.38296129795383	4.96600351846866	-2.41695777948517	477	155	469	125	0.983228511530398	0.806451612903226	4.20543694530789e-15	3.92225430972912e-13	2.66249938645813e-37	1.18823920489783e-47	4.59176958831822e-45
ZCCHC7	1.82395970679926	5.21352380408452	3.38956409728526	477	155	174	125	0.364779874213836	0.806451612903226	2.65472853693579e-21	1.9465170979635e-22	1.18331203015576e-27	2.60259380835378e-47	9.84334202921209e-45
DHRS9	0.125280329793977	1.3928076089443	1.26752727915032	477	155	12	50	0.0251572327044025	0.32258064516129	1.5733927465378e-26	6.09850909707261e-23	6.35235916376867e-27	4.35717117707954e-47	1.61360572591179e-44
